Huawei;смартфон;Nova;Нова;1;Huawei Nova 2I;Хуавей  Нова 2И;I;2;Nova;И;2;Нова;Нова 2И
Huawei;смартфон;Mate;Мате;1;Huawei Mate 10 Pro;Хуавей  Мате 10 Про;Pro;10;Mate;Про;10;Мате;Мате 10 Про
Huawei;смартфон;Mate;Мате;1;Huawei Mate 10;Хуавей  Мате 10;10;10;Mate;10;10;Мате;Мате 10
Huawei;смартфон;Nova;Нова;1;Huawei Nova 2 Plus;Хуавей  Нова 2 Плюс;Plus;2;Nova;Плюс;2;Нова;Нова 2 Плюс
Huawei;смартфон;Honor;Хонор;1;Huawei Honor 6C Pro;Хуавей  Хонор 6Ц Про;Pro;6C;Honor;Про;6Ц;Хонор;Хонор 6Ц Про
Huawei;смартфон;Nova;Нова;1;Huawei Nova Lite ;Хуавей  Нова Лайт;Lite ;Lite ;Nova;Лайт;Лайт;Нова;Нова Лайт
Huawei;смартфон;Honor;Хонор;1;Huawei Honor 6A;Хуавей  Хонор 6А;A;6;Honor;А;6;Хонор;Хонор 6А
Huawei;смартфон;Honor;Хонор;1;Huawei Honor Magic;Хуавей  Хонор Мэджик;Magic;Magic;Honor;Мэджик;Мэджик;Хонор;Хонор Мэджик
Huawei;смартфон;Honor;Хонор;1;Huawei Honor 9;Хуавей  Хонор 9;9;9;Honor;9;9;Хонор;Хонор 9
Huawei;смартфон;Honor;Хонор;1;Huawei Honor 8 Lite;Хуавей  Хонор 8 Лите;Lite;8;Honor;Лите;8;Хонор;Хонор 8 Лите
Huawei;смартфон;Honor;Хонор;0;Huawei Honor V9;Хуавей  Хонор В9;9;V;Honor;9;В;Хонор;Хонор В9
Huawei;смартфон;Honor;Хонор;1;Huawei Honor 6X;Хуавей  Хонор 6Икс;X;6;Honor;Икс;6;Хонор;Хонор 6Икс
Huawei;смартфон;P-series;Серия П;1;Huawei P10 Plus;Хуавей  П10 Плюс;Plus;10;P;Плюс;10;П;П10 Плюс
Huawei;смартфон;Y-series;У;1;Huawei Y7;Хуавей  У7;7;7;Y;7;7;У;У7
Huawei;смартфон;P-series;Серия П;1;Huawei P10 Lite;Хуавей  П10 Лайт;Lite;10;P;Лайт;10;П;П10 Лайт
Huawei;смартфон;Honor;Хонор;1;Huawei Honor 8 Pro;Хуавей  Хонор 8 Про;Pro;8;Honor; Про;8;Хонор;Хонор 8 Про
Huawei;смартфон;P-series;Серия П ;0;Huawei P10 Dual Sim;Хуавей  П10 Дуал Сим;Sim;Dual;P10 ;Сим;Дуал;П10 ;П10 Дуал Сим
Huawei;смартфон;Honor;Хонор;1;Huawei Honor Note 8;Хуавей  Хонор Ноте 8;8;Note ;Honor;8;Ноте ;Хонор;Хонор Ноте 8
Huawei;смартфон;Mate;Мате;1;Huawei Mate 9 Porsche Design;Хуавей  Мате 9 Порше Дизайн;Porsche Design;9;Mate;Порше Десигн;9;Мате;Мате 9 Порше Дизайн
Huawei;смартфон;Mate;Мате;1;Huawei Mate 9 Pro;Хуавей  Мате 9 Про;Pro;9;Mate;Про;9;Мате;Мате 9 Про
Huawei;смартфон;Mate;Мате;1;Huawei Mate 9;Хуавей  Мате 9;9;9;Mate;9;9;Мате;Мате 9
Huawei;смартфон;Nova;Нова;1;Huawei Nova;Хуавей  Нова;Nova;Nova;Nova;Нова;Нова;Нова;Нова
Huawei;смартфон;Nova;Нова;1;Huawei Nova Plus;Хуавей  Нова Плюс;Plus;Plus;Nova;Плюс;Плюс;Нова;Нова Плюс
Huawei;смартфон;Y-series;У;1;Huawei Y6 Ii;Хуавей  У6 ИИ;Ii;6;Y;ИИ;6;У;У6 ИИ
Huawei;смартфон;Y-series;У;1;Huawei Y3 Ii Lte;Хуавей  У3 ИИИЛте;Ii ;Lte 3;Y;ИИ;Лте 3;У;У3 ИИ Лте
Huawei;смартфон;P-series;Серия П;1;Huawei P8;Хуавей  П8;8;8;P;8;8;П;П8
Huawei;смартфон;Honor;Хонор;1;Huawei Honor 6 Dual;Хуавей  Хонор 6 Дуал;Dual;6;Honor;Дуал;6;Хонор;Хонор 6 Дуал
Huawei;смартфон;P-series;Серия П;1;Huawei P10;Хуавей  П10;10;10;P;10;10;П;П10
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy Alpha Sm-G850F;Самсунг Галакси Альфа См-Г850Ф;Sm-G850F;Alpha;Galaxy;См-Г850Ф;Альфа ;Галакси;Альфа См-Г850Ф
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy Core 2 Sm-G355H;Самсунг Галакси Кор 2 См-Г355Х;2 Sm-G355H;Core ;Galaxy; 2 См-Г355Х;Кор;Галакси;Кор 2 См-Г355Х
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy Grand Prime Sm-G530H;Самсунг Галакси Гранд Прайм См-Г530Х;Prime Sm-G530H;Grand ;Galaxy; Прайм См-Г530Х;Гранд;Галакси;Гранд Прайм См-Г530Х
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy S5 Duos Sm-G900Fd;Самсунг Галакси С5 Дуос См-Г900Фд;S5 Duos Sm-G900Fd;S;Galaxy;5 Дуос См-Г900Фд;С;Галакси;С5 Дуос См-Г900Фд
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy S5 Mini Sm-G800H;Самсунг Галакси С5 Мини См-Г800Х;S5 Mini Sm-G800H;S;Galaxy;С5 Мини См-Г800Х;С;Галакси;С5 Мини См-Г800Х
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy Note 4 Sm-N910F;Самсунг Галакси Ноте 4 См-Н910Ф;4 Sm-N910F;Note;Galaxy;4 См-Н910Ф;Ноте;Галакси;Ноте 4 См-Н910Ф
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy Note Edge Sm-N915F;Самсунг Галакси Ноте Эдж См-Н915Ф;Edge Sm-N915F;Note;Galaxy;Эдж См-Н915Ф;Ноте;Галакси;Ноте Эдж См-Н915Ф
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy Note 4 Sm-N910C;Самсунг Галакси Ноте 4 См-Н910Ц;4 Sm-N910C;Note;Galaxy; 4 См-Н910Ц;Ноте;Галакси;Ноте 4 См-Н910Ц
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy S3 Neo Gt-I9301I;Самсунг Галакси С3 Нео Гт-И9301И;S3 Neo Gt-I9301I;S;Galaxy;3 Нео Гт-И9301И;С;Галакси;С3 Нео Гт-И9301И
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy Star Advance Sm-G350E;Самсунг Галакси Стар Адванс См-Г350Е;Advance Sm-G350E;Star;Galaxy; Адванс См-Г350Е;Стар;Галакси;Стар Адванс См-Г350Е
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy S5 Mini Sm-G800F;Самсунг Галакси С5 Мини См-Г800Ф;S5 Mini Sm-G800F;S;Galaxy;Галакси;С;Галакси;С5 Мини См-Г800Ф
Samsung;смартфон;Z;Зет;0;Samsung Z;Самсунг Зет;Z;Z;Z;Зет;Зет;Зет;Зет
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy S3 Duos Gt-I9300I;Самсунг Галакси С3 Дуос Гт-И9300И;S3 Duos Gt-I9300I;S;Galaxy;3 Дуос Гт-И9300И;С;Галакси;С3 Дуос Гт-И9300И
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy Golden Gt-I9235;Самсунг Галакси Голден Гт-И9235;Gt-I9235;Golden;Galaxy;Гт-И9235;Голден;Галакси;Голден Гт-И9235
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy S5 Sm-G900F;Самсунг Галакси С5 См-Г900Ф;S5 Sm-G900F;S;Galaxy;С5 См-Г900Ф;С;Галакси;С5 См-Г900Ф
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy Note 3 Sm-N900;Самсунг Галакси Ноте 3 См-Н900;Note 3 Sm-N900;Note;Galaxy;Ноте 3 См-Н900;Ноте;Галакси;Ноте 3 См-Н900
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy Grand 2 Sm-G7102;Самсунг Галакси Гранд 2 См-Г7102;Grand 2 Sm-G7102;Grand;Galaxy;Гранд 2 См-Г7102;Гранд;Галакси;Гранд 2 См-Г7102
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy Star Plus Gt-S7262;Самсунг Галакси Стар Плюс Гт-С7262;Plus Gt-S7262;Star;Galaxy;Плюс Гт-С7262;Стар;Галакси;Стар Плюс Гт-С7262
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy Note 3 Sm-N9005;Самсунг Галакси Ноте 3 См-Н9005;Note 3 Sm-N9005;Note;Galaxy;Ноте 3 См-Н9005;Ноте 3 См-Н9005;Галакси;Ноте 3 См-Н9005
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy Trend Gt-S7390;Самсунг Галакси Тренд Гт-С7390;Gt-S7390;Trend;Galaxy;Тренд Гт-С7390;Тренд;Галакси;Тренд Гт-С7390
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy S4 Mini Duos Gt-I9192;Самсунг Галакси С4 Мини Дуос Гт-И9192;S4 Mini Duos Gt-I9192;S;Galaxy;4 Мини Дуос Гт-И9192;С;Галакси;С4 Мини Дуос Гт-И9192
Samsung;смартфон;Galaxy;Галакси;0;Samsung Galaxy S4 Mini Gt-I9195;Самсунг Галакси С4 Мини Гт-И9195;S4 Mini Gt-I9195;S;Galaxy;4 Мини Гт-И9195;С;Галакси;С4 Мини Гт-И9195
