bls-zte.russia-mobile.com;ZTE Russia;1;68;78003506058;309;51540248;66;ЗТЕ Россия
blg-zte.russia-mobile.com;ZTE Russia;1;44;78003506058;310;51540302;66;ЗТЕ Россия
vol-zte.russia-mobile.com;ZTE Russia;1;54;78003506058;311;51540317;66;ЗТЕ Россия
ivn-zte.russia-mobile.com;ZTE Russia;1;42;78003506058;312;51540335;66;ЗТЕ Россия
klg-zte.russia-mobile.com;ZTE Russia;1;49;78003506058;313;51540350;66;ЗТЕ Россия
kem-zte.russia-mobile.com;ZTE Russia;1;60;78003506058;314;51540368;66;ЗТЕ Россия
nkz-zte.russia-mobile.com;ZTE Russia;1;37;78003506058;315;51540371;66;ЗТЕ Россия
orl-zte.russia-mobile.com;ZTE Russia;1;51;78003506058;316;51540380;66;ЗТЕ Россия
pnz-zte.russia-mobile.com;ZTE Russia;1;20;78003506058;317;51540389;66;ЗТЕ Россия
sml-zte.russia-mobile.com;ZTE Russia;1;53;78003506058;318;51540395;66;ЗТЕ Россия
tol-zte.russia-mobile.com;ZTE Russia;1;36;78003506058;319;51540404;66;ЗТЕ Россия
hrb-zte.russia-mobile.com;ZTE Russia;1;64;78003506058;320;51540410;66;ЗТЕ Россия
