vrn.samsung.russia.expert;Samsung Russia;Самсунг Россия;1;5;74732020930;36;43287494;2;;;;;
ekb.samsung.russia.expert;Samsung Russia;Самсунг Россия;1;2;73432891453;37;43287509;2;;;;;
krd.samsung.russia.expert;Samsung Russia;Самсунг Россия;1;1;78612050928;38;43287519;2;;;;;
nnv.samsung.russia.expert;Samsung Russia;Самсунг Россия;1;7;78312155428;39;43287534;2;;;;;
oms.samsung.russia.expert;Samsung Russia;Самсунг Россия;1;4;73812665648;40;43287539;2;;;;;
spb.samsung.russia.expert;Samsung Russia;Самсунг Россия;1;6;78123850261;41;43287549;2;;;;;
chl.samsung.russia.expert;Samsung Russia;Самсунг Россия;1;3;73512170240;42;43287554;2;;;;;
spb.ariston-russia.com ;Ariston Russia;Аристон Россия;1;6;78123335566;52;43287564;24;;;;;
spb.bbk-russia.ru;BBK Russia;ВВК Россия;1;6;78123335566;52;43287579;30;;;;;
spb.bosch-russia.com;Bosch Russia;Бош Россия;1;6;78123335566;52;43287589;31;;;;;
spb.compaq-russia.com;Compaq Russia;Compaq Russia;1;6;78123335566;52;43287594;15;;;;;
spb.electrolux-russia.com;Electrolux Russia;Электролюкс Россия;1;6;78123335566;52;43287614;29;;;;;
spb.epson-russia.com;Epson Russia;Эпсон Россия;1;6;78123335566;52;43287624;32;;;;;
spb.indesit-russia.com;Indesit Russia;Индесит Россия;1;6;78123335566;52;43287629;33;;;;;
spb.panasonic-russia.pro;Panasonic Russia;Панасоник Россия;1;6;78123335566;52;43287634;26;;;;;
spb.philips-russia.ru;Philips Russia;Филипс Россия;1;6;78123335566;52;43287674;25;;;;;
ekb.ariston-russia.com ;Ariston Russia;Аристон Россия;1;2;73432124488;53;43287689;24;;;;;
ekb.bbk-russia.ru;BBK Russia;ВВК Россия;1;2;73432124488;53;43287709;30;;;;;
ekb.bosch-russia.com;Bosch Russia;Бош Россия;1;2;73432124488;53;43287714;31;;;;;
ekb.compaq-russia.com;Compaq Russia;Compaq Russia;1;2;73432124488;53;43287734;15;;;;;
ekb.electrolux-russia.com;Electrolux Russia;Электролюкс Россия;1;2;73432124488;53;43287739;29;;;;;
ekb.epson-russia.com;Epson Russia;Эпсон Россия;1;2;73432124488;53;43287749;32;;;;;
ekb.indesit-russia.com;Indesit Russia;Индесит Россия;1;2;73432124488;53;43287764;33;;;;;
ekb.panasonic-russia.pro;Panasonic Russia;Панасоник Россия;1;2;73432124488;53;43287779;26;;;;;
ekb.philips-russia.ru;Philips Russia;Филипс Россия;1;2;73432124488;53;43287819;25;;;;;
nsk.ariston-russia.com ;Ariston Russia;Аристон Россия;1;9;73834041732;54;43287829;24;;;;;
nsk.bbk-russia.ru;BBK Russia;ВВК Россия;1;9;73834041732;54;43287839;30;;;;;
nsk.bosch-russia.com;Bosch Russia;Бош Россия;1;9;73834041732;54;43287844;31;;;;;
nsk.compaq-russia.com;Compaq Russia;Compaq Russia;1;9;73834041732;54;43287849;15;;;;;
nsk.electrolux-russia.com;Electrolux Russia;Электролюкс Россия;1;9;73834041732;54;43287864;29;;;;;
nsk.epson-russia.com;Epson Russia;Эпсон Россия;1;9;73834041732;54;43287879;32;;;;;
nsk.indesit-russia.com;Indesit Russia;Индесит Россия;1;9;73834041732;54;43287894;33;;;;;
nsk.panasonic-russia.pro;Panasonic Russia;Панасоник Россия;1;9;73834041732;54;43287909;26;;;;;
nsk.philips-russia.ru;Philips Russia;Филипс Россия;1;9;73834041732;54;43287929;25;;;;;
