dmd.acer-russia-support.ru;Acer Russia;1;69;74951251881;306;51207674;4;Асер Россия
dmd-alcatel.russia-mobile.com;Alcatel Russia;1;69;74951251881;306;51207698;14;Алкатель Россия
dmd.apple-russia-mobile.com;Apple Russia;1;69;74951251881;306;51207713;21;Эпл Россия
dmd.asus-russia-support.com;Asus Russia;1;69;74951251881;306;51207731;3;Асус Россия
dmd.canon-russia-support.ru;Canon Russia;1;69;74951251881;306;51207755;23;Кэнон Россия
dmd.dell-russia-support.com;Dell Russia;1;69;74951251881;306;51207770;9;Делл Россия
dmd-fly.russia-mobile.com;Fly Russia;1;69;74951251881;306;51207776;16;Флай Россия
dmd.hp-russia-support.com;Hp Russia;1;69;74951251881;306;51207794;6;НР Россия
dmd.htc-russia-support.ru;Htc Russia;1;69;74951251881;306;51207800;10;НТС Россия
dmd.huawei-russia-support.com;Huawei Russia;1;69;74951251881;306;51207836;17;Хуавей Россия
dmd.lenovo-russia-support.com;Lenovo Russia;1;69;74951251881;306;51207854;5;Леново Россия
dmd.lg-russia-mobile.com;Lg Russia;1;69;74951251881;306;51207875;12;ЛДжи Россия
dmd.meizu-russia-support.com;Meizu Russia;1;69;74951251881;306;51207884;20;Мейзу Россия
dmd.msi-russia-support.com;Msi Russia;1;69;74951251881;306;51207887;8;МСИ Россия
dmd.nikon-russia-support.ru;Nikon Russia;1;69;74951251881;306;51207899;22;Никон Россия
dmd.nokia-russia-support.com;Nokia Russia;1;69;74951251881;306;51207908;11;Нокиа Россия
dmd.galaxy-russia-mobile.com;Samsung Russia;1;69;74951251881;306;51207917;2;Самсунг Россия
dmd.xperia-russia.com;Sony Russia;1;69;74951251881;306;51207926;1;Сони Россия
dmd.toshiba-russia-mobile.ru;Toshiba Russia;1;69;74951251881;306;51207941;7;Тошиба Россия
dmd.xiaomi-russia-support.com;Xiaomi Russia;1;69;74951251881;306;51207965;18;Ксиаоми Россия
dmd-zte.russia-mobile.com;Zte Russia;1;69;74951251881;306;51207977;66;ЗТЕ Россия
acer-domd.remont-centre.net;ACER REMONT CENTRE;5;69;74950231511;307;51202802;4;
apple-domd.remont-centre.net;APPLE REMONT CENTRE;5;69;74950231511;307;51202832;21;
asus-domd.remont-centre.net;ASUS REMONT CENTRE;5;69;74950231511;307;51202844;3;
dell-domd.remont-centre.net;DELL REMONT CENTRE;5;69;74950231511;307;51202856;9;
hp-domd.remont-centre.net;HP REMONT CENTRE;5;69;74950231511;307;51206897;6;
htc-domd.remont-centre.net;HTC REMONT CENTRE;5;69;74950231511;307;51206906;10;
huawei-domd.remont-centre.net;HUAWEI REMONT CENTRE;5;69;74950231511;307;51206924;17;
lenovo-domd.remont-centre.net;LENOVO REMONT CENTRE;5;69;74950231511;307;51206948;5;
meizu-domd.remont-centre.net;MEIZU REMONT CENTRE;5;69;74950231511;307;51206957;20;
msi-domd.remont-centre.net;MSI REMONT CENTRE;5;69;74950231511;307;51206966;8;
domd.galaxy-service.net;SAMSUNG REMONT CENTRE;5;69;74950231511;307;51206981;2;
sony-domd.remont-centre.net;SONY REMONT CENTRE;5;69;74950231511;307;51206990;1;
toshiba-domd.remont-centre.net;TOSHIBA REMONT CENTRE;5;69;74950231511;307;51207011;7;
xiaomi-domd.remont-centre.net;XIAOMI REMONT CENTRE;5;69;74950231511;307;51207017;18;
