acer-chl.remont-centre.com;ACER REMONT CENTRE;5;3;73512170515;25;42557559;4
apple-chl.remont-centre.com;APPLE REMONT CENTRE;5;3;73512170515;25;42557584;21
asus-chl.remont-centre.com;ASUS REMONT CENTRE;5;3;73512170515;25;42557599;3
dell-chl.remont-centre.com;DELL REMONT CENTRE;5;3;73512170515;25;42557614;9
hp-chl.remont-centre.com;HP REMONT CENTRE;5;3;73512170515;25;42557619;6
htc-chl.remont-centre.com;HTC REMONT CENTRE;5;3;73512170515;25;42557639;10
huawei-chl.remont-centre.com;HUAWEI REMONT CENTRE;5;3;73512170515;25;42557674;17
lenovo-chl.remont-centre.com;LENOVO REMONT CENTRE;5;3;73512170515;25;42557689;5
meizu-chl.remont-centre.com;MEIZU REMONT CENTRE;5;3;73512170515;25;42557714;20
msi-chl.remont-centre.com;MSI REMONT CENTRE;5;3;73512170515;25;42557729;8
samsung-chl.remont-centre.com;SAMSUNG REMONT CENTRE;5;3;73512170515;25;42557764;2
sony-chl.remont-centre.com;SONY REMONT CENTRE;5;3;73512170515;25;42557794;1
toshiba-chl.remont-centre.com;TOSHIBA REMONT CENTRE;5;3;73512170515;25;42557839;7
xiaomi-chl.remont-centre.com;XIAOMI REMONT CENTRE;5;3;73512170515;25;42557859;18
