nvr.acer.russia.expert;Acer Russia;Асер Россия;1;62;78617306465;195;48274985;4
nvr.alcatel.russia.expert;Alcatel Russia;Алкатель Россия;1;62;78617306465;195;48274991;14
nvr.apple.russia.expert;Apple Russia;Эпл Россия;1;62;78617306465;195;48275000;21
nvr.asus.russia.expert;Asus Russia;Асус Россия;1;62;78617306465;195;48275018;3
nvr.canon.russia.expert;Canon Russia;Кэнон Россия;1;62;78617306465;195;48275024;23
nvr.notebook-russia.com;Dell Russia;Делл Россия;1;62;78617306465;195;48275036;9
nvr.fly.russia.expert;Fly Russia;Флай Россия;1;62;78617306465;195;48275039;16
nvr.hp.russia.expert;HP Russia;НР Россия;1;62;78617306465;195;48275042;6
nvr.htc.russia.expert;HTC Russia;НТС Россия;1;62;78617306465;195;48275045;10
nvr.huawei.russia.expert;Huawei Russia;Хуавей Россия;1;62;78617306465;195;48275051;17
nvr.lenovo.russia.expert;Lenovo Russia;Леново Россия;1;62;78617306465;195;48275054;5
nvr.lg.russia.expert;LG Russia;ЛДжи Россия;1;62;78617306465;195;48275057;12
nvr.meizu.russia.expert;Meizu Russia;Мейзу Россия;1;62;78617306465;195;48275060;20
nvr.msi.russia.expert;MSI Russia;МСИ Россия;1;62;78617306465;195;48275066;8
nvr.nikon.russia.expert;Nikon Russia;Никон Россия;1;62;78617306465;195;48275069;22
nvr.nokia.russia.expert;Nokia Russia;Нокиа Россия;1;62;78617306465;195;48275075;11
nvr.smrussia.com;Samsung Russia;Самсунг Россия;1;62;78617306465;195;48275078;2
nvr.sony.russia.expert;Sony Russia;Сони Россия;1;62;78617306465;195;48275084;1
nvr.toshiba.russia.expert;Toshiba Russia;Тошиба Россия;1;62;78617306465;195;48275087;7
nvr.xiaomi.russia.expert;Xiaomi Russia;Ксиаоми Россия;1;62;78617306465;195;48275099;18
nvr.zte.russia.expert;ZTE Russia;ЗТЕ Россия;1;62;78617306465;195;48275111;66
