1;acer-centre.com;1;2;1;51;9;52;120
2;acer.russia.expert;1;1;1;3;11;12;21
3;alcatel-russia.com;2;1;1;13;0;0;21
4;apple.russia.expert;3;1;1;14;0;0;21
5;notebook-russia.com;5;1;1;18;19;20;21
6;fly-russia.com;273;1;1;21;0;0;21
7;hp-centre.com;7;2;1;53;54;55;120
8;hp-russia.pro;7;1;1;4;22;23;21
9;htc-centre.com;8;2;1;56;57;58;120
10;htcrussia.com;8;1;1;24;25;26;21
11;huawei.russia.expert;9;1;1;27;28;16;21
12;huawei-centre.com;9;2;1;59;60;61;120
13;lenovo-centre.com;11;2;1;10;62;63;120
14;lenovo-russia.ru;11;1;1;7;29;79;21
15;lg-centre.com;10;2;1;64;65;66;120
16;lg-russia.ru;10;1;1;6;30;31;21
17;meizu.russia.expert;121;1;1;32;33;34;21
18;meizu-centre.com;121;2;1;67;68;69;120
19;msi.centre.services;118;2;1;15;0;0;120
20;msi.russia.expert;118;1;1;35;36;37;21
21;nokia-centre.com;13;2;1;70;71;72;120
22;nokia-russia.com;13;1;1;39;40;41;21
23;sam-centre.com;16;2;1;73;74;75;120
24;moskva-servis.com;16;1;1;2;42;43;21
25;sony-russia.com;17;1;1;5;44;45;21
26;toshiba.russia.expert;19;1;1;46;47;8;21
27;xiaomi.russia.expert;200;1;1;48;49;50;21
28;xiaomi-centre.com;200;2;1;76;77;78;120
29;canon-russia.com;50;1;1;17;0;0;21
30;foto.russia.expert;133;1;1;38;0;0;21
32;nnv.acer.russia.expert;1;1;8;86;;;64
33;nnv.alcatel-russia.com;2;1;8;85;;;64
34;nnv.apple.russia.expert;3;1;8;86;;;64
35;nnv.asus-russia.ru;4;1;8;86;;;64
36;nnv.notebook-russia.com;5;1;8;86;;;64
37;nnv.fly-russia.com;273;1;8;85;;;64
38;nnv.hp.russia.expert;7;1;8;86;;;64
39;nnv.htcrussia.com;8;1;8;85;;;64
40;nnv.huawei.russia.expert;9;1;8;85;;;64
41;nnv.lenovo-russia.ru;11;1;8;86;;;64
42;nnv.lg-russia.ru;10;1;8;85;;;64
43;nnv.meizu.russia.expert;121;1;8;85;;;64
44;nnv.msi.russia.expert;118;1;8;86;;;64
45;nnv.nokia-russia.com;13;1;8;85;;;64
46;nnv.smrussia.com;16;1;8;86;;;64
47;nnv.sony-russia.com;17;1;8;86;;;64
48;nnv.toshiba.russia.expert;19;1;8;86;;;64
49;nnv.xiaomi.russia.expert;200;1;8;85;;;64
50;nnv.canon-russia.com;50;1;8;84;;;64
51;nnv.nikon.russia.expert;133;1;8;84;;;64
